Shapes:
Python: (3, 3, 21, 501)
MATLAB: (3, 3, 21, 501)
✅ Match [2, 2, 0, 69]: Python=0.0051402509692432255, MATLAB=0.0051402509481171775
✅ Match [2, 2, 0, 70]: Python=0.02102627846073071, MATLAB=0.021026278463646256
✅ Match [2, 2, 0, 71]: Python=0.041322615085112625, MATLAB=0.04132261507928199
✅ Match [2, 2, 0, 72]: Python=0.05823901936954717, MATLAB=0.05823901930932954
✅ Match [2, 2, 0, 73]: Python=0.031186217717336248, MATLAB=0.031186217643467726
✅ Match [2, 2, 0, 74]: Python=0.0022227083951533427, MATLAB=0.0022227083651566973
✅ Match [2, 2, 0, 75]: Python=0.0025962942676509802, MATLAB=0.0025962942832719266
✅ Match [2, 2, 0, 76]: Python=0.008107009660746048, MATLAB=0.008107009659553828
✅ Match [2, 2, 0, 77]: Python=0.010868789386207119, MATLAB=0.010868789407874401
✅ Match [2, 2, 0, 78]: Python=0.00020744209128422967, MATLAB=0.00020744209943848868
✅ Match [2, 2, 0, 79]: Python=0.011479523780508979, MATLAB=0.011479523711456168
✅ Match [2, 2, 0, 80]: Python=0.01940880112710941, MATLAB=0.019408801028325963
✅ Match [2, 2, 0, 81]: Python=0.014550690796671307, MATLAB=0.014550690764975527
✅ Match [2, 2, 0, 82]: Python=0.020152363490785787, MATLAB=0.020152363489194813
✅ Match [2, 2, 0, 83]: Python=0.03385185529640571, MATLAB=0.03385185529015951
✅ Match [2, 2, 0, 84]: Python=0.03630303688115009, MATLAB=0.036303036875705325
✅ Match [2, 2, 0, 85]: Python=0.022280718231096328, MATLAB=0.022280718253261122
✅ Match [2, 2, 0, 86]: Python=0.013917473560068134, MATLAB=0.01391747361721463
✅ Match [2, 2, 0, 87]: Python=0.017299452861408156, MATLAB=0.017299452886987587
✅ Match [2, 2, 0, 88]: Python=0.013545640697027557, MATLAB=0.013545640743903284
✅ Match [2, 2, 0, 89]: Python=0.01112812024944429, MATLAB=0.011128120295456227
✅ Match [2, 2, 0, 90]: Python=0.015018315137043712, MATLAB=0.015018315058080479
✅ Match [2, 2, 0, 91]: Python=0.012541807321981886, MATLAB=0.012541807150798893
✅ Match [2, 2, 0, 92]: Python=0.002501833807660939, MATLAB=0.002501833749681559
✅ Match [2, 2, 0, 93]: Python=4.6547023553662865e-05, MATLAB=4.6547030742634146e-05
✅ Match [2, 2, 0, 94]: Python=0.009510233331058191, MATLAB=0.009510233374757527
✅ Match [2, 2, 0, 95]: Python=0.03461552919359524, MATLAB=0.034615529313238746
✅ Match [2, 2, 0, 96]: Python=0.02840205412789657, MATLAB=0.028402054192290156
✅ Match [2, 2, 0, 97]: Python=0.01824115120526624, MATLAB=0.01824115123938772
✅ Match [2, 2, 0, 98]: Python=0.008142212873995924, MATLAB=0.0081422129385607
✅ Match [2, 2, 0, 99]: Python=0.0038847377480000864, MATLAB=0.0038847377146189205
✅ Match [2, 2, 0, 100]: Python=0.012073017807131683, MATLAB=0.01207301769979208
✅ Match [2, 2, 0, 101]: Python=0.01021117318498297, MATLAB=0.010211173122821583
✅ Match [2, 2, 0, 102]: Python=0.010619409375783274, MATLAB=0.010619409374092368
✅ Match [2, 2, 0, 103]: Python=0.030930303214001857, MATLAB=0.030930303185188007
✅ Match [2, 2, 0, 104]: Python=0.05826906429331961, MATLAB=0.058269064224319725
✅ Match [2, 2, 0, 105]: Python=0.03720976436498033, MATLAB=0.037209764334835076
✅ Match [2, 2, 0, 106]: Python=0.006220678295595602, MATLAB=0.0062206782597597765
✅ Match [2, 2, 0, 107]: Python=0.010655519229848696, MATLAB=0.010655519151712242
✅ Match [2, 2, 0, 108]: Python=0.04782341365499126, MATLAB=0.04782341351674257
✅ Match [2, 2, 0, 109]: Python=0.050337658775014345, MATLAB=0.0503376587405884
✅ Match [2, 2, 0, 110]: Python=0.03686514751037981, MATLAB=0.03686514759298363
✅ Match [2, 2, 0, 111]: Python=0.05106544204296703, MATLAB=0.05106544218142163
✅ Match [2, 2, 0, 112]: Python=0.08331127372826161, MATLAB=0.08331127386411234
✅ Match [2, 2, 0, 113]: Python=0.09799507725352571, MATLAB=0.09799507736412433
✅ Match [2, 2, 0, 114]: Python=0.0642400339484164, MATLAB=0.06424003402478934
✅ Match [2, 2, 0, 115]: Python=0.023718277463275254, MATLAB=0.023718277490792843
✅ Match [2, 2, 0, 116]: Python=0.015161412633917766, MATLAB=0.015161412637527655
✅ Match [2, 2, 0, 117]: Python=0.026417982823110912, MATLAB=0.02641798283928917
✅ Match [2, 2, 0, 118]: Python=0.0547295044716434, MATLAB=0.05472950446609995
✅ Match [2, 2, 0, 119]: Python=0.07391071475610968, MATLAB=0.07391071470652946
✅ Match [2, 2, 0, 120]: Python=0.04128256326718655, MATLAB=0.041282563227825586
✅ Match [2, 2, 0, 121]: Python=0.018297611886702463, MATLAB=0.018297611811469997
✅ Match [2, 2, 0, 122]: Python=0.018596421163546636, MATLAB=0.018596421084251667
✅ Match [2, 2, 0, 123]: Python=0.007474977856026542, MATLAB=0.007474977812372363
✅ Match [2, 2, 0, 124]: Python=0.018561963276580728, MATLAB=0.01856196321316284
✅ Match [2, 2, 0, 125]: Python=0.04094311150213534, MATLAB=0.0409431114509385
✅ Match [2, 2, 0, 126]: Python=0.043005556336552106, MATLAB=0.04300555636445397
✅ Match [2, 2, 0, 127]: Python=0.022886110929834447, MATLAB=0.022886110950267092
✅ Match [2, 2, 0, 128]: Python=0.00776725294090607, MATLAB=0.007767252922819274
✅ Match [2, 2, 0, 129]: Python=0.003568872697746479, MATLAB=0.0035688726888125567
✅ Match [2, 2, 0, 130]: Python=0.009433580322102503, MATLAB=0.009433580314120654
✅ Match [2, 2, 0, 131]: Python=0.02001936537146368, MATLAB=0.020019365322066923
✅ Match [2, 2, 0, 132]: Python=0.02847236131984513, MATLAB=0.028472361237302506
✅ Match [2, 2, 0, 133]: Python=0.031099503422283743, MATLAB=0.031099503419749232
✅ Match [2, 2, 0, 134]: Python=0.05243661442475965, MATLAB=0.05243661458775339
✅ Match [2, 2, 0, 135]: Python=0.0515890702853788, MATLAB=0.05158907049058411
✅ Match [2, 2, 0, 136]: Python=0.03627758331675066, MATLAB=0.036277583453227166
✅ Match [2, 2, 0, 137]: Python=0.06416699958203996, MATLAB=0.06416699964462184
✅ Match [2, 2, 0, 138]: Python=0.05861075257328795, MATLAB=0.05861075261736885
✅ Match [2, 2, 0, 139]: Python=0.031086546410339828, MATLAB=0.03108654646629304
✅ Match [2, 2, 0, 140]: Python=0.013453974820458807, MATLAB=0.013453974873151094
✅ Match [2, 2, 0, 141]: Python=0.011242712702045363, MATLAB=0.011242712734774922
✅ Match [2, 2, 0, 142]: Python=0.02781404580756908, MATLAB=0.02781404583698891
✅ Match [2, 2, 0, 143]: Python=0.034829975795916124, MATLAB=0.034829975794177404
✅ Match [2, 2, 0, 144]: Python=0.026730709318639165, MATLAB=0.026730709284757837
✅ Match [2, 2, 0, 145]: Python=0.01515042979429164, MATLAB=0.0151504297991856
✅ Match [2, 2, 0, 146]: Python=0.002289399950767877, MATLAB=0.002289399988193679
✅ Match [2, 2, 0, 147]: Python=0.02668908550442374, MATLAB=0.026689085500225817
✅ Match [2, 2, 0, 148]: Python=0.042986654089162635, MATLAB=0.042986654065317466
✅ Match [2, 2, 0, 149]: Python=0.03245672416937378, MATLAB=0.03245672418839663
✅ Match [2, 2, 0, 150]: Python=0.007186132866457999, MATLAB=0.007186132900431194
✅ Match [2, 2, 0, 151]: Python=0.0010260666133335339, MATLAB=0.001026066595968547
✅ Match [2, 2, 0, 152]: Python=0.008433441993018794, MATLAB=0.008433441953755507
✅ Match [2, 2, 0, 153]: Python=0.008703510006151192, MATLAB=0.00870350999915706
✅ Match [2, 2, 0, 154]: Python=0.0033610574895252938, MATLAB=0.0033610575059363178
✅ Match [2, 2, 0, 155]: Python=0.00023863574086588202, MATLAB=0.00023863574591721366
✅ Match [2, 2, 0, 156]: Python=0.0033105026961040415, MATLAB=0.0033105026706117453
✅ Match [2, 2, 0, 157]: Python=0.019578315449601567, MATLAB=0.019578315368529074
✅ Match [2, 2, 0, 158]: Python=0.016092138308515896, MATLAB=0.016092138244905164
✅ Match [2, 2, 0, 159]: Python=0.005853570070927236, MATLAB=0.005853570053566773
✅ Match [2, 2, 0, 160]: Python=0.031060220768924424, MATLAB=0.03106022075447114
✅ Match [2, 2, 0, 161]: Python=0.031276010551035606, MATLAB=0.03127601045620972
✅ Match [2, 2, 0, 162]: Python=0.0143178734366427, MATLAB=0.01431787337956756
✅ Match [2, 2, 0, 163]: Python=0.005358892868345264, MATLAB=0.005358892867272177
✅ Match [2, 2, 0, 164]: Python=4.917661236087383e-05, MATLAB=4.9176612333441295e-05
✅ Match [2, 2, 0, 165]: Python=0.002223212256916009, MATLAB=0.0022232122608856373
✅ Match [2, 2, 0, 166]: Python=0.004366760079667498, MATLAB=0.004366760097428264
✅ Match [2, 2, 0, 167]: Python=0.0045374623894491916, MATLAB=0.004537462425954828
✅ Match [2, 2, 0, 168]: Python=0.009559867550144749, MATLAB=0.009559867550050016
✅ Match [2, 2, 0, 169]: Python=0.003972933853394176, MATLAB=0.003972933861924787
✅ Match [2, 2, 0, 170]: Python=0.005232885588913952, MATLAB=0.00523288560604483
✅ Match [2, 2, 0, 171]: Python=0.01424412113131588, MATLAB=0.014244121139973632
✅ Match [2, 2, 0, 172]: Python=0.013644638803117256, MATLAB=0.013644638812900624
✅ Match [2, 2, 0, 173]: Python=0.023881130032644166, MATLAB=0.023881130083748307
✅ Match [2, 2, 0, 174]: Python=0.024018297774220772, MATLAB=0.0240182978349968
✅ Match [2, 2, 0, 175]: Python=0.013492637552275089, MATLAB=0.013492637608157781
✅ Match [2, 2, 0, 176]: Python=0.049553386334398215, MATLAB=0.04955338651926589
✅ Match [2, 2, 0, 177]: Python=0.09215129563758484, MATLAB=0.0921512958161919
✅ Match [2, 2, 0, 178]: Python=0.06354051797810802, MATLAB=0.06354051796508327
✅ Match [2, 2, 0, 179]: Python=0.039277511939729455, MATLAB=0.03927751189963155
✅ Match [2, 2, 0, 180]: Python=0.04736495411059274, MATLAB=0.04736495413148171
✅ Match [2, 2, 0, 181]: Python=0.052428635657539226, MATLAB=0.05242863566965764
✅ Match [2, 2, 0, 182]: Python=0.03647307549608884, MATLAB=0.03647307544611631
✅ Match [2, 2, 0, 183]: Python=0.015150903122197969, MATLAB=0.015150903068597553
✅ Match [2, 2, 0, 184]: Python=0.0028856119547970315, MATLAB=0.0028856119233526384
✅ Match [2, 2, 0, 185]: Python=0.017780324871508518, MATLAB=0.017780324846378984
✅ Match [2, 2, 0, 186]: Python=0.02982934016261866, MATLAB=0.029829340174711373
✅ Match [2, 2, 0, 187]: Python=0.012654456800786423, MATLAB=0.012654456843604462
✅ Match [2, 2, 0, 188]: Python=0.033785145560748096, MATLAB=0.03378514558557332
✅ Match [2, 2, 0, 189]: Python=0.10012439685132338, MATLAB=0.10012439675461066
✅ Match [2, 2, 0, 190]: Python=0.10558289455914768, MATLAB=0.1055828943824908
✅ Match [2, 2, 0, 191]: Python=0.035585744402292695, MATLAB=0.03558574436671013
✅ Match [2, 2, 0, 192]: Python=0.005900293384875747, MATLAB=0.0059002933885514116
✅ Match [2, 2, 0, 193]: Python=0.006536245557672405, MATLAB=0.006536245539237821
✅ Match [2, 2, 0, 194]: Python=0.041177567769545176, MATLAB=0.041177567719798934
✅ Match [2, 2, 0, 195]: Python=0.043925672722850945, MATLAB=0.04392567270567211
✅ Match [2, 2, 0, 196]: Python=0.02152810228547979, MATLAB=0.021528102290809953
✅ Match [2, 2, 0, 197]: Python=0.006720704986281577, MATLAB=0.006720704992950998
✅ Match [2, 2, 0, 198]: Python=0.0045680680174680485, MATLAB=0.004568068020223787
✅ Match [2, 2, 0, 199]: Python=0.007939514669579017, MATLAB=0.007939514672076084
✅ Match [2, 2, 0, 200]: Python=0.006002471550368599, MATLAB=0.006002471567606279
✅ Match [2, 2, 0, 201]: Python=0.0008832543849579312, MATLAB=0.0008832544128754998
✅ Match [2, 2, 0, 202]: Python=0.001043874108816348, MATLAB=0.001043874112093195
✅ Match [2, 2, 0, 203]: Python=0.0040690053746948295, MATLAB=0.004069005400670741
✅ Match [2, 2, 0, 204]: Python=0.030286725541582245, MATLAB=0.030286725647393747
✅ Match [2, 2, 0, 205]: Python=0.02724222256159928, MATLAB=0.027242222689593785
✅ Match [2, 2, 0, 206]: Python=0.011470471593437644, MATLAB=0.011470471685492199
✅ Match [2, 2, 0, 207]: Python=0.011533618077989562, MATLAB=0.011533618152196211
✅ Match [2, 2, 0, 208]: Python=0.02015054135404814, MATLAB=0.020150541427728784
✅ Match [2, 2, 0, 209]: Python=0.022693625930167247, MATLAB=0.022693626018138895
✅ Match [2, 2, 0, 210]: Python=0.009696407757312496, MATLAB=0.009696407811339108
✅ Match [2, 2, 0, 211]: Python=0.006200624804570756, MATLAB=0.00620062483505001
✅ Match [2, 2, 0, 212]: Python=0.01828528621102662, MATLAB=0.018285286274357933
✅ Match [2, 2, 0, 213]: Python=0.014569650453702586, MATLAB=0.014569650504160144
✅ Match [2, 2, 0, 214]: Python=0.005718546786665978, MATLAB=0.005718546808423916
✅ Match [2, 2, 0, 215]: Python=0.005053633999652225, MATLAB=0.005053634019325003
✅ Match [2, 2, 0, 216]: Python=0.0029128854683044348, MATLAB=0.0029128854992606897
✅ Match [2, 2, 0, 217]: Python=0.000679370598963663, MATLAB=0.0006793705821162113
✅ Match [2, 2, 0, 218]: Python=0.006335856634161665, MATLAB=0.006335856542477436
✅ Match [2, 2, 0, 219]: Python=0.015209776128890434, MATLAB=0.015209776087074555
✅ Match [2, 2, 0, 220]: Python=0.03662653690949282, MATLAB=0.036626536940729676
✅ Match [2, 2, 0, 221]: Python=0.04743889063325039, MATLAB=0.04743889051812772
✅ Match [2, 2, 0, 222]: Python=0.017897128460542876, MATLAB=0.01789712830789604
✅ Match [2, 2, 0, 223]: Python=0.006553982946054739, MATLAB=0.006553982923557098
✅ Match [2, 2, 0, 224]: Python=0.03099653222162372, MATLAB=0.030996532168791103
✅ Match [2, 2, 0, 225]: Python=0.03391398165547484, MATLAB=0.03391398152103751
✅ Match [2, 2, 0, 226]: Python=0.004074970543818748, MATLAB=0.0040749705019311605
✅ Match [2, 2, 0, 227]: Python=0.007355574435554937, MATLAB=0.00735557446809825
✅ Match [2, 2, 0, 228]: Python=0.03730591180592486, MATLAB=0.037305911884450246
✅ Match [2, 2, 0, 229]: Python=0.0682218331564724, MATLAB=0.06822183328818152
✅ Match [2, 2, 0, 230]: Python=0.06559759432085782, MATLAB=0.06559759443883904
✅ Match [2, 2, 0, 231]: Python=0.03317248314225224, MATLAB=0.03317248320769291
✅ Match [2, 2, 0, 232]: Python=0.012041077524486504, MATLAB=0.01204107754037308
✅ Match [2, 2, 0, 233]: Python=0.006470266979498235, MATLAB=0.0064702669621837195
✅ Match [2, 2, 0, 234]: Python=0.006646878461538668, MATLAB=0.006646878461014568
✅ Match [2, 2, 0, 235]: Python=0.02078522200815574, MATLAB=0.020785221994727154
✅ Match [2, 2, 0, 236]: Python=0.02769298299691533, MATLAB=0.02769298293799883
✅ Match [2, 2, 0, 237]: Python=0.01055910871969403, MATLAB=0.010559108701802928
✅ Match [2, 2, 0, 238]: Python=0.0027966302322862003, MATLAB=0.0027966302630596275
✅ Match [2, 2, 0, 239]: Python=0.020848976987495844, MATLAB=0.020848977105467053
✅ Match [2, 2, 0, 240]: Python=0.04077464675390086, MATLAB=0.040774646905695724
✅ Match [2, 2, 0, 241]: Python=0.03136134335313965, MATLAB=0.031361343418539925
✅ Match [2, 2, 0, 242]: Python=0.01536712496898194, MATLAB=0.015367125012121893
✅ Match [2, 2, 0, 243]: Python=0.0063228631886992175, MATLAB=0.006322863205844561
✅ Match [2, 2, 0, 244]: Python=0.009328769355326899, MATLAB=0.009328769283731449
✅ Match [2, 2, 0, 245]: Python=0.0006664320466025631, MATLAB=0.0006664320228480183
✅ Match [2, 2, 0, 246]: Python=0.02180073535758369, MATLAB=0.021800735452175476
✅ Match [2, 2, 0, 247]: Python=0.07636894480055871, MATLAB=0.07636894471395443
✅ Match [2, 2, 0, 248]: Python=0.06889859113358841, MATLAB=0.06889859091817707
✅ Match [2, 2, 0, 249]: Python=0.0179370884693132, MATLAB=0.017937088369163908
✅ Match [2, 2, 0, 250]: Python=0.007924298030266126, MATLAB=0.007924298120046977
✅ Match [2, 2, 0, 251]: Python=0.0410631441555269, MATLAB=0.04106314438588491
✅ Match [2, 2, 0, 252]: Python=0.01614866787904116, MATLAB=0.016148667994535515
✅ Match [2, 2, 0, 253]: Python=0.0006988842746940923, MATLAB=0.0006988842510377015
✅ Match [2, 2, 0, 254]: Python=0.01937541243225649, MATLAB=0.019375412378881622
✅ Match [2, 2, 0, 255]: Python=0.02050804152132174, MATLAB=0.02050804146545079
✅ Match [2, 2, 0, 256]: Python=0.0008519744353346534, MATLAB=0.0008519744236012651
✅ Match [2, 2, 0, 257]: Python=0.012099751071093337, MATLAB=0.0120997510499462
✅ Match [2, 2, 0, 258]: Python=0.04007459500804699, MATLAB=0.040074594930994606
✅ Match [2, 2, 0, 259]: Python=0.05045687489310121, MATLAB=0.05045687468682642
✅ Match [2, 2, 0, 260]: Python=0.048828774513706874, MATLAB=0.04882877440177095
✅ Match [2, 2, 0, 261]: Python=0.03399489281595043, MATLAB=0.033994892819731885
✅ Match [2, 2, 0, 262]: Python=0.017614785093307567, MATLAB=0.01761478513291055
✅ Match [2, 2, 0, 263]: Python=0.020692662753867323, MATLAB=0.020692662817837965
✅ Match [2, 2, 0, 264]: Python=0.013419038470586741, MATLAB=0.01341903851500737
✅ Match [2, 2, 0, 265]: Python=0.008550251517938586, MATLAB=0.008550251556851275
✅ Match [2, 2, 0, 266]: Python=0.005771141015503831, MATLAB=0.005771141040612728
✅ Match [2, 2, 0, 267]: Python=0.0020633582738148614, MATLAB=0.0020633583039537597
✅ Match [2, 2, 0, 268]: Python=0.001971158378586493, MATLAB=0.0019711584241166773
✅ Match [2, 2, 0, 269]: Python=0.0020668054932894663, MATLAB=0.0020668055268410848
✅ Match [2, 2, 0, 270]: Python=0.008783663992709703, MATLAB=0.008783664017274682
✅ Match [2, 2, 0, 271]: Python=0.026290271365756172, MATLAB=0.026290271441517975
✅ Match [2, 2, 0, 272]: Python=0.01634921725918957, MATLAB=0.016349217241273615
✅ Match [2, 2, 0, 273]: Python=0.021029703972850262, MATLAB=0.02102970393366658
✅ Match [2, 2, 0, 274]: Python=0.035668258409419965, MATLAB=0.035668258442932275
✅ Match [2, 2, 0, 275]: Python=0.016157579310605383, MATLAB=0.016157579368710696
✅ Match [2, 2, 0, 276]: Python=0.000531393241035439, MATLAB=0.0005313932389070769
✅ Match [2, 2, 0, 277]: Python=0.01934106352049909, MATLAB=0.01934106357492539
✅ Match [2, 2, 0, 278]: Python=0.02550615264509431, MATLAB=0.025506152838890076
✅ Match [2, 2, 0, 279]: Python=0.022164642933396782, MATLAB=0.022164643134299132
✅ Match [2, 2, 0, 280]: Python=0.013004698190057331, MATLAB=0.013004698329984559
✅ Match [2, 2, 0, 281]: Python=0.012538816068298816, MATLAB=0.01253881627870243
✅ Match [2, 2, 0, 282]: Python=0.015948600622834843, MATLAB=0.01594860085255585
✅ Match [2, 2, 0, 283]: Python=0.022754663661300176, MATLAB=0.022754663800931718
✅ Match [2, 2, 0, 284]: Python=0.016864389732025656, MATLAB=0.016864389747335156
✅ Match [2, 2, 0, 285]: Python=0.0050726870524942244, MATLAB=0.005072687003455814
✅ Match [2, 2, 0, 286]: Python=0.008444171721278298, MATLAB=0.008444171600079592
✅ Match [2, 2, 0, 287]: Python=0.011381455777930047, MATLAB=0.011381455755308897
✅ Match [2, 2, 0, 288]: Python=0.008783128209157273, MATLAB=0.0087831283373632
✅ Match [2, 2, 0, 289]: Python=0.007554667249277388, MATLAB=0.007554667389341538
✅ Match [2, 2, 0, 290]: Python=0.00418974575339527, MATLAB=0.0041897457910722285
✅ Match [2, 2, 0, 291]: Python=0.01885735397037392, MATLAB=0.018857354013790004
✅ Match [2, 2, 0, 292]: Python=0.05227193812699475, MATLAB=0.05227193819506104
✅ Match [2, 2, 0, 293]: Python=0.029585025648796424, MATLAB=0.02958502562316774
✅ Match [2, 2, 0, 294]: Python=0.000599266672612, MATLAB=0.0005992666977531837
✅ Match [2, 2, 0, 295]: Python=0.02653465847851562, MATLAB=0.026534658589067
